plastic_id,plastic_code,plastic_family,plastic_subtype,thickness_mm,width_mm,standard_length_m,color_code_raw,color_name_normalized,electrical_property,silicone_status_normalized,additive_flags,additive_text_raw,appearance_text_raw,an_code_raw,an_meaning_normalized,si_code_raw,ab_code_raw,status_review,remarks_raw,is_active,created_by,created_at,updated_at
b80f0153-e082-4f2c-916f-ac8b31fcc49d,PLA-9B756DB8,PET,,0.98,640.0,150.0,CL,clear,normal,unknown,,,,,,SI,,approved,PET(CL)0.98x640x150 SI,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
00e75f51-a1f1-4661-aa86-adfb9705c1d5,PLA-F640273C,PET,A-PET,0.7,640.0,150.0,TB,transparent_blue,normal,,,,,,,,,approved,TB-APET0.7x640x150 135m,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
db66aa7d-08f6-4c17-b52d-f3f024ed4b02,PLA-D06CD789,PS,,0.58,640.0,350.0,N,natural,normal,unknown,,,,,,SI,,approved,PS(N)0.58x640x350 Si,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
ec96d5be-df2d-4ec1-bf13-ad70740709b1,PLA-7B3CEAD1,PS,,1.48,520.0,100.0,導電,,conductive,,,,,,,,,approved,PS(導電)1.48x520x100 255m,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
12a3b58c-6ada-4248-8638-930af080603f,PLA-4130850B,PS,,0.68,435.0,300.0,N,natural,conductive,unknown,,,,AN,,SI,,approved,PS(N)0.68x435x300 AN Si,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
e3b0395f-2591-4f70-993e-4a2ff5d4531c,PLA-4592D7BF,PP,,0.38,405.0,500.0,N,natural,conductive,,,,,AN,,,,approved,PP(N)0.38x405x500 AN,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
177efef0-6aed-49e2-b070-b8ad88bb3bed,PLA-26877075,PET,,0.4,640.0,350.0,G,green,conductive,,,,,,,,,approved,PET(G)0.40x640x350 レグルス,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
a65d5203-51c6-4652-8965-14745c74facd,PLA-50DA7A99,PS,,0.68,640.0,300.0,N,natural,conductive,unknown,,,,,,SI,,approved,PS(N)0.68x640x300 Si,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
b828c257-5671-413f-aade-7dcea16da980,PLA-0756FC35,PP,,0.38,520.0,500.0,N,natural,conductive,,,,,AN,,,,approved,PP(N)0.38x520x500 AN,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
e34f30cd-6b98-40b1-96a4-92f2ce8ac8e4,PLA-D858EADC,PET,,0.48,520.0,300.0,G,green,conductive,,,,,,,,,approved,PET(G)0.48x520x300 レグルス,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
78f41439-ad6c-4e5c-a563-0b7e72a6b05b,PLA-06CB98A3,PS,,0.78,405.0,250.0,N,natural,conductive,unknown,,,,AN,,SI,,approved,PS(N)0.78x405x250 AN Si,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
271fcf94-0e64-466d-a91f-8292c2e38bdc,PLA-9A42A08E,PP,,0.38,565.0,500.0,N,natural,conductive,unknown,,,,,,SI,,approved,PP(N)0.38x565x500AN SI,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
e71b63aa-0deb-44f5-acd4-c2a1386df6bb,PLA-11840517,PET,,0.58,520.0,300.0,G,green,conductive,,,,,,,,,approved,PET(G)0.58x520x300,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
e01afa05-e6dd-4636-9e63-524f224892eb,PLA-AC85B5B8,PS,,0.8,640.0,250.0,N,natural,conductive,unknown,,,,,,SI,,approved,PS(N)0.80x640x250 Si 0m,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
10f08a85-5e42-403c-8711-706572bb4681,PLA-CC5F95C1,PS,,0.78,405.0,250.0,N,natural,conductive,,,,,AN,,,,approved,PS(N)0.78x405x250 AN,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
308810ca-ea95-47ed-94f6-5fbaef98acf5,PLA-99D4C2C7,PP,,0.48,405.0,400.0,N,natural,conductive,,,,,AN,,,,approved,PP(N)0.48x405x400 AN,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
06fe0b37-2a48-48d5-a869-e62ae316d82e,PLA-227A7B38,PET,,0.68,550.0,150.0,G,green,conductive,,,,,,,,,approved,PET(G)0.68x550x150,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
63e0b45d-6625-4251-8ccf-4aa42931d330,PLA-4365E4D7,PS,,1.0,640.0,150.0,N,natural,conductive,,,,,,,,,approved,PS(N)1.0x640x150Si 859m,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
95ed964a-d53f-4d5e-9bb9-d3b01e7f05c4,PLA-6719D014,PS,,0.78,435.0,300.0,N,natural,conductive,unknown,,,,AN,,SI,,approved,PS(N)0.78x435x300 AN Si,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
cc430b34-879a-4f67-b84e-98b26fe4e5f9,PLA-CE17A793,PP,,0.48,520.0,400.0,N,natural,conductive,,,,,AN,,,,approved,PP(N)0.48x520x400 AN,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
db5a31b3-6621-472e-b353-577bdabc5433,PLA-10F4211F,PET,,0.68,520.0,250.0,B,black,conductive,,,,,,,,,approved,PET(B)0.68x520x250(レグルス) 400m,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
2a2fa83c-248b-430c-ae2e-c4c683de0225,PLA-12E017FB,PS,,0.78,520.0,250.0,N,natural,conductive,,,,,AN,,,,approved,PS(N)0.78x520x250 AN,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
2cd3ad66-9d0a-4d11-9c79-7ce0d92ccd3a,PLA-5F50FB3A,PP,,0.48,550.0,400.0,N,natural,conductive,,,,,AN,,,,approved,PP(N)0.48x550x400 AN,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
b4d753cf-9106-4d27-8468-68abfe3053af,PLA-A2F91680,PET,,0.68,550.0,150.0,B,black,conductive,,,,,,,,,approved,PET(B)0.68x550x150 0m,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
eb6dfeda-d4a6-4be4-be2e-f20a1ab7d770,PLA-C92D7AA3,PET,,0.68,640.0,150.0,B,black,conductive,,,,,,,,,approved,PET(B)0.68x640x150 マルアイ,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
194ece59-4b8e-4a02-80ce-78d8ac9364f7,PLA-FCB4A12E,PS,,0.55,520.0,300.0,W,white,conductive,,,,,,,,,approved,PS(W)0.55x520x300 300m,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
1560e5af-86b3-4af7-b6f3-583e34896a8f,PLA-9BC60501,PS,,0.78,520.0,250.0,N,natural,normal,unknown,,,,AN,,SI,,approved,PS(N)0.78x520x250 AN Si,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
4ca2580c-51df-467e-a59f-93a27786d17e,PLA-AF7DE7BB,PP,,0.5,640.0,300.0,N,natural,normal,,,,,,,,,approved,PP(N)0.5x640x300(共栄),1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
