MoldCutterID,CutterID,MoldDesignID,MoldID,DateEntry,MoldCutterNotes
1536,493,1315,1286,20-Sep-24,
1537,493,1316,1285,20-Sep-24,
712,494,982,2500,16-Aug-24,KKC002新ん
789,495,1421,3840,16-Aug-24,
818,497,1595,2928,16-Aug-24,
756,498,1159,3200,16-Aug-24,
569,499,418,740,16-Aug-24,
1071,500,2755,2282,16-Aug-24,
623,502,595,2726,16-Aug-24,
1365,503,3413,2578,11-Sep-24,
1364,503,3419,2561,11-Sep-24,
1366,503,3550,4293,11-Sep-24,
1084,505,2898,2030,16-Aug-24,
1085,505,2948,2011,16-Aug-24,
473,509,44,3544,16-Aug-24,
951,510,2070,3999,16-Aug-24,
1031,515,2300,4078,16-Aug-24,
365,522,1222,2812,08-Aug-24,
362,522,1223,2786,08-Aug-24,
363,522,1226,2785,08-Aug-24,
364,522,1227,2763,08-Aug-24,
958,523,2076,796,16-Aug-24,
959,523,2080,4007,16-Aug-24,
2800,523,4329,,28-Jan-25,
695,525,959,1874,16-Aug-24,
696,526,960,1838,16-Aug-24,
1151,527,3046,3270,16-Aug-24,
830,530,1637,2116,16-Aug-24,
831,530,1639,2158,16-Aug-24,
832,530,1640,2159,16-Aug-24,
821,531,1598,928,16-Aug-24,NGS013AB
1032,532,2307,645,16-Aug-24,
1104,533,2866,4149,16-Aug-24,
744,534,1187,2747,16-Aug-24,KSP-105
745,534,1238,3801,16-Aug-24,
746,534,1239,2770,16-Aug-24,
749,534,1240,2811,16-Aug-24,
747,534,1244,2768,16-Aug-24,
748,534,1245,2769,16-Aug-24,
620,535,584,3682,16-Aug-24,
763,536,1319,1295,16-Aug-24,
764,536,1320,1294,16-Aug-24,
765,536,1323,3820,16-Aug-24,
766,537,1318,1284,16-Aug-24,
460,538,17,3531,16-Aug-24,
459,538,18,3530,16-Aug-24,
1136,539,2966,4178,16-Aug-24,
1134,540,2967,1837,16-Aug-24,
907,541,1948,2048,16-Aug-24,
1037,542,2309,1951,16-Aug-24,
772,543,1352,867,16-Aug-24,
1152,544,3048,4197,16-Aug-24,
878,545,1807,1683,16-Aug-24,
629,546,614,299,16-Aug-24,
630,546,615,2988,16-Aug-24,
485,547,65,3068,16-Aug-24,
861,548,1767,3910,16-Aug-24,
1030,549,2299,2937,16-Aug-24,
669,550,861,1084,16-Aug-24,
2795,551,2277,,28-Jan-25,
2796,552,2276,,28-Jan-25,
1027,552,2277,1092,16-Aug-24,
