LocationLogID,OldRackLayer,NewRackLayer,MoldID,DateEntry,CutterID,notes
,1001,911,,2025/01/24 15:38:49,740,
,1001,912,,2025/01/24 15:58:09,760,
,1001,913,,2025/01/24 16:18:40,695,
,700,14,5090,2025/01/24 16:39:44,,
,1001,920,,2025/01/24 16:41:25,716,
,1001,920,,2025/01/24 16:42:03,716,
,1001,920,,2025/01/24 16:43:07,494,
,700,35,5237,2025/01/27 8:32:26,,
,1001,951,,2025/01/28 9:13:39,615,
,1001,942,,2025/01/28 10:42:18,470,
,1001,941,,2025/01/28 10:42:31,590,
,1001,942,,2025/01/28 10:42:57,470,
,1001,942,,2025/01/28 10:44:42,469,
,1001,942,,2025/01/28 10:46:31,467,
,1001,942,,2025/01/28 10:46:49,468,
,1001,942,,2025/01/28 10:47:18,466,
,1001,942,,2025/01/28 10:47:33,465,
,1001,942,,2025/01/28 10:48:35,464,
,1001,942,,2025/01/28 10:48:58,463,
,1001,942,,2025/01/28 10:49:18,462,
,1001,942,,2025/01/28 10:50:46,461,
,1001,942,,2025/01/28 10:52:31,460,
,1001,942,,2025/01/28 10:53:26,459,
,1001,942,,2025/01/28 10:53:50,458,
,1001,942,,2025/01/28 10:54:09,457,
,1001,942,,2025/01/28 10:54:59,456,
,1001,942,,2025/01/28 10:57:29,454,
,1001,942,,2025/01/28 10:58:52,453,
,1001,942,,2025/01/28 10:59:23,452,
,1001,942,,2025/01/28 11:00:58,538,
,1001,942,,2025/01/28 11:03:01,572,
,1001,942,,2025/01/28 11:04:38,606,
,1001,942,,2025/01/28 11:06:06,523,
,1001,943,,2025/01/28 11:06:40,532,
,1001,943,,2025/01/28 11:08:02,545,
,1001,943,,2025/01/28 11:08:25,542,
,1001,943,,2025/01/28 11:09:09,546,
,1001,943,,2025/01/28 11:10:17,549,
,1001,943,,2025/01/28 11:11:30,550,
,1001,943,,2025/01/28 11:12:12,551,
,1001,943,,2025/01/28 11:12:28,552,
,1001,943,,2025/01/28 11:13:57,553,
,1001,943,,2025/01/28 11:14:23,556,
,1001,943,,2025/01/28 11:14:48,558,
,1001,943,,2025/01/28 11:15:01,559,
,1001,943,,2025/01/28 11:15:17,541,
,1001,932,,2025/01/28 13:30:27,544,
,1001,932,,2025/01/28 13:31:51,527,
,12,13,450,2025/02/03 16:00:34,,
,12,13,4218,2025/02/03 16:00:43,,
,700,14,5112,2025/02/03 16:01:24,,
,700,15,4939,2025/02/03 16:01:50,,
,700,13,4727,2025/02/03 16:02:02,,
,,661,4413,2025/02/07 12:02:04,,
,651,704,3665,2025/02/07 15:10:40,,
,655,704,3664,2025/02/07 15:11:02,,
,655,704,5079,2025/02/07 15:12:48,,
,,152,4098,2025/02/10 12:10:58,,
,700,71,4625,2025/03/04 12:46:14,,
,123,704,324,2025/03/13 16:13:12,,
,114,704,424,2025/03/13 16:13:35,,
,112,704,375,2025/03/13 16:14:17,,
,112,704,376,2025/03/13 16:14:26,,
,112,704,380,2025/03/13 16:14:37,,
,122,704,269,2025/03/13 16:14:55,,
,122,704,271,2025/03/13 16:15:13,,
,123,704,315,2025/03/13 16:15:25,,
,123,704,2868,2025/03/13 16:15:41,,
,700,233,5338,2025/03/14 16:15:27,,
,162,163,2819,2025/03/17 9:16:09,,
,700,94,5339,2025/03/19 8:47:52,,
,700,94,5340,2025/03/19 8:48:05,,
,,700,5331,2025/03/19 8:53:48,,
,,43,5239,2025/03/21 14:21:15,,
,43,45,814,2025/03/21 14:21:45,,
,43,45,811,2025/03/21 14:21:54,,
,33,35,3063,2025/03/22 14:46:27,,
,700,63,5323,2025/03/22 14:47:17,,
